index	premise	hypothesis	gold_label	number of correct responses (out of 100)
218	No one was there, no bones at all.	There were many bones in a pile.	contradiction	100
219	The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.	Many were sad to see the Brahmanic ritual change.	neutral	72
220	Enter the realm of shopping malls, where everything you're looking for is available without moving your car.	Everything can be found inside a shopping mall.	neutral	0
221	well that's uh i agree with you there i mean he didn't have the surrounding cast that Montana had there's no doubt about that	I don't agree when you say that he didn't have as much support as Montana.	contradiction	99
222	As with other types of internal controls, this is a cycle of activity, not an exercise with a defined beginning and end.	There is no clear beginning and end, it's a continuous cycle.	entailment	13
223	There are many such at the present time.	There are none at all.	contradiction	100
224	With their fluent Vietnamese and Mandarin, they help Tran understand her family's eligibility for Medi-Cal and food stamps, assist the 70-year-old woman in finding a place to live and advise abused women how they can stay in the country while staying away from their husbands.	Tran spoke Mandarin. 	entailment	100
225	As Ben Yagoda writes in the New York Times Book Review , somewhere along the way, Kidder must have decided not to write a book about Tommy O'Connor.	Ben Yagoda is a famous book reviewer.	neutral	100
226	It was planned in the 1820s as a symbol of Scottish national pride and designed as a mini-Parthenon, in deference to the neoclassical style popular at the time.	It was designed to look just like the White House.  	contradiction	97
227	She was 96 just turning away when she heard a piercing whistle, and the faithful Albert came running from the building to join her.	Albert was a dog that came running when he heard the whistle. 	neutral	18
228	Scotland became little more than an English county.	Scotland was hardly better than an English county. 	entailment	100
229	3 Accordingly, auditors performing financial audits need to be proficient in applying the AICPA standards and guidance contained in the SASs.	Auditors must have many qualifications	neutral	98
230	Scotland became little more than an English county.	Scotland was hardly better than an English county as England no longer allowed them an army.	neutral	100
231	Consider the Globe : As the respectable media have become sleazy, the Globe has become sleazier.	The media is becoming sleazy because it's trying to combat brainwashing.	neutral	100
232	He works himself into a fake froth; does some calculated, halfhearted gonzo writing; then collects a fat check.	He collects a big check for pretending to be outraged.	entailment	94
233	the the Iranian borders are still open uh from what i understand understand um	From what I know the borders of Iran are still open.	entailment	100
234	Just as in ancient times, without the River Nile, Egypt could not exist.	Many Egyptians take for granted how important the nile river is.	neutral	100
235	A re-created street of colonial Macau is lined with traditional Chinese shops.	This street, formerly a colonial site, is now home to modern high-rise development.	contradiction	66
236	Something may be better than nothing . If trials compared low-cost therapy to the complete AZT regimen it's likely that the new regimens will prove less effective.	It is better to have little than to have none at all.	entailment	39
237	it would probably be a lot more work and probably not turn out as good	Oh that way sounds great, it could turn out even better	contradiction	100
